name,platform,year_of_release
The King of Fighters 94 (CD),NG,1993
Illusion of Gaia,SNES,1993
Harukanaru Augusta 2: Masters,SNES,1993
Classic Road,SNES,1993
Ranma 1/2: Akanekodan Teki Hihou,SNES,1993
Lethal Enforcers,SNES,1993
Ecco: The Tides of Time,GEN,1993
Street Fighter II: Special Champion Edition (JP weekly sales),GEN,1993
Samurai Shodown,NG,1993
Ninja Warriors,SNES,1993
Streets of Rage 3,GEN,1993
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993
Popn TwinBee: Rainbow Bell Adventure,SNES,1993
Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993
Dynamite Headdy,GEN,1993
Pachinko Wars II,SNES,1993
Keiba Eight Special,SNES,1993
Beyond Oasis,GEN,1993
Rock N Roll Racing,SNES,1993
Street Fighter II Turbo,SNES,1993
Disney's Aladdin,GEN,1993
The Legend of Zelda: Link's Awakening,GB,1993
Mortal Kombat,GEN,1993
Kirby's Pinball Land,GB,1993
SimCity 2000,PC,1993
NBA Jam,GEN,1993
Kirby's Adventure,NES,1993
Street Fighter II': Special Champion Edition,GEN,1993
Yoshi's Cookie,GB,1993
Tetris 2,GB,1993
Pac-Man,NES,1993
Yoshi's Cookie,NES,1993
The 7th Guest,PC,1993
Final Fantasy Legend III,GB,1993
Super Bomberman,SNES,1993
Fatal Fury,SNES,1993
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1993
Tetris 2 (weekly jp sales),GB,1993
SimEarth: The Living Planet,SNES,1993
Mega Man IV,GB,1993
Gunstar Heroes,GEN,1993
Ecco the Dolphin,GEN,1993
Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993
Syndicate,PC,1993
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1993
Doom,PC,1993
Empire Deluxe,PC,1993
Rock N' Roll Racing,SNES,1993
Donkey Kong Country,SNES,1994
Super Mario Land 3: Wario Land,G,1994
Donkey Kong Land,G,1994
Doom II: Hell on Earth,PC,1994
Final Fantasy III,SNES,1994
Donkey Kong,G,1994
Myst,PC,1994
Monopoly,PC,1994
Warcraft: Orcs & Humans,PC,1994
Star Wars: Dark Forces,PC,1994
Sonic & Knuckles,GEN,1994
Disney's The Lion King,SNES,1994
Sonic the Hedgehog 3,GEN,1994
Mortal Kombat 3,SNES,1994
Super Metroid,SNES,1994
Disney's The Lion King,GEN,1994
NBA Jam,SNES,1994
Mortal Kombat 3,GEN,1994
Battle Arena Toshinden,PS,1994
NBA Jam Tournament Edition,GEN,1994
Virtua Fighter,SAT,1994
Super Momotarou Dentetsu III,SNES,1994
Derby Stallion II,SNES,1994
Kamaitachi no Yoru,SNES,1994
Super Bomberman 2,SNES,1994
EarthBound,SNES,1994
Ridge Racer,PS,1994
Doom,PS,1994
Super Bomberman 3,SNES,1994
Fire Emblem: Monsh? no Nazo,SNES,1994
Kirbys Dream Course,SNES,1994
Theme Park,PS,1994
Fatal Fury Special,SNES,1994
Daytona USA,SAT,1994
Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994
J-League Soccer: Prime Goal 2,SNES,1994
Space Invaders,SNES,1994
NHL FaceOff,PS,1994
Wonder Project J: Kikai no Shonen Pino,SNES,1994
Jikkyou Powerful Pro Yakuu 94,SNES,1994
Samurai Shodown,SNES,1994
Super Famista 3,SNES,1994
ESPN Extreme Games,PS,1994
Kileak: The DNA Imperative,PS,1994
Super Formation Soccer 94,SNES,1994
Super Robot Taisen EX,SNES,1994
Shin Megami Tensei II,SNES,1994
Zero4 Champ RR,SNES,1994
Super Fire ProWrestling Special,SNES,1994
Breath of Fire II,SNES,1994
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994
Super Power League 2,SNES,1994
Parodius,PS,1994
Live A Live,SNES,1994
Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994
Decathlete,SAT,1994
Daikaijyuu Monogatari,SNES,1994
Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994
International Superstar Soccer,SNES,1994
SimCity 2000,SAT,1994
Slam Dunk: Yonkyo Taiketsu!!,SNES,1994
Thoroughbred Breeder II,SNES,1994
Virtua Racing,GEN,1994
Galactic Attack,SAT,1994
A. IV Evolution: A Ressha de Ikou 4,PS,1994
Samurai Shodown II,NG,1994
The King of Fighters 95 (CD),NG,1994
Drift King Shutokou Battle 94,SNES,1994
Samurai Spirits (CD),NG,1994
Wing Arms,SAT,1994
ThunderStrike 2,PS,1994
SD Gundam GX,SNES,1994
Gokujou Parodius,SNES,1994
F1 Challenge,SAT,1994
Saturday Night Slam Masters,SNES,1994
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994
Shining Force CD,SCD,1994
The King of Fighters 94,NG,1994
Slayers,SNES,1994
Battle Arena Toshinden Remix,SAT,1994
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994
Center Ring Boxing,SAT,1994
Primal Rage,PS,1994
Jikkyou Powerful Pro Yakyuu 95,PS,1994
Final Fantasy I & II,NES,1994
Jupiter Strike,PS,1994
Crime Crackers,PS,1994
Clockwork Knight,SAT,1994
Theme Park,SAT,1994
Kings Field (Japan),PS,1994
Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994
Dragon Slayer: The Legend of Heroes,GEN,1994
Majin Tensei,SNES,1994
Gale Racer,SAT,1994
Formula One World Championship: Beyond the Limit,SCD,1994
Derby Jockey: Kishou e no Michi,SNES,1994
Kenyuu Densetsu Yaiba,SNES,1994
Motor Toon Grand Prix (Japan),PS,1994
Discworld,PS,1994
Robotica,SAT,1994
Worldwide Soccer,SAT,1994
Record of Lodoss War: Eiyuu Sensou,SCD,1994
Myst,SAT,1994
Game no Kanzume Vol 2,SCD,1994
Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994
Golden Axe: The Duel,SAT,1994
Game no Kanzume Vol 1,SCD,1994
World Series Baseball,SAT,1994
